,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL
0,RELIANCE,Long Closed,1996-02-16,16.28,1996-04-05,14.9,3071.0,49997.686,-4237.98,-8.476
1,RELIANCE,Long Closed,1996-04-24,17.64,1996-06-18,17.21,2833.0,49986.714,-1218.19,-2.437
2,RELIANCE,Long Closed,1996-08-13,14.82,1996-08-16,14.75,3374.0,49991.758,-236.18,-0.472
3,RELIANCE,Long Closed,1996-08-30,15.07,1996-09-17,13.78,3317.0,49999.877,-4278.93,-8.558
4,RELIANCE,Long Closed,1996-11-12,13.1,1996-11-21,13.04,3816.0,49987.491,-228.96,-0.458
5,RELIANCE,Long Closed,1996-12-30,14.98,1997-04-15,19.12,3338.0,49994.65,13819.32,27.642
6,RELIANCE,Long Closed,1997-05-01,22.11,1997-09-03,24.6,2260.0,49978.693,5627.4,11.26
7,RELIANCE,Long Closed,1997-10-13,30.7,1997-11-27,23.28,1628.0,49975.493,-12079.76,-24.171
8,RELIANCE,Long Closed,1998-01-14,23.21,1998-01-30,21.46,2154.0,49987.834,-3769.5,-7.541
9,RELIANCE,Long Closed,1998-03-12,24.56,1998-05-25,25.63,2035.0,49987.121,2177.45,4.356
10,RELIANCE,Long Closed,1998-10-07,15.85,1998-10-14,15.08,3154.0,49997.687,-2428.58,-4.857
11,RELIANCE,Long Closed,1998-11-19,17.3,1999-02-26,20.06,2889.0,49984.596,7973.64,15.952
12,RELIANCE,Long Closed,1999-03-03,21.41,1999-04-06,16.99,2335.0,49986.618,-10320.7,-20.647
13,RELIANCE,Long Closed,1999-05-12,24.14,1999-08-09,25.25,2071.0,49984.119,2298.81,4.599
14,RELIANCE,Long Closed,1999-09-09,27.26,1999-11-25,32.83,1833.0,49972.793,10209.81,20.431
15,RELIANCE,Long Closed,2000-01-04,36.9,2000-03-10,33.42,1354.0,49966.212,-4711.92,-9.43
16,RELIANCE,Long Closed,2000-04-18,42.43,2000-06-06,48.27,1178.0,49981.952,6879.52,13.764
17,RELIANCE,Long Closed,2000-06-14,49.48,2000-08-10,47.41,1010.0,49979.265,-2090.7,-4.183
18,RELIANCE,Long Closed,2000-09-13,55.12,2000-10-13,46.45,907.0,49992.355,-7863.69,-15.73
19,RELIANCE,Long Closed,2000-12-07,48.04,2001-03-30,56.28,1040.0,49963.7,8569.6,17.152
20,RELIANCE,Long Closed,2001-05-29,56.98,2001-06-28,51.13,877.0,49973.266,-5130.45,-10.266
21,RELIANCE,Long Closed,2001-11-12,37.83,2002-02-12,44.27,1321.0,49974.682,8507.24,17.023
22,RELIANCE,Long Closed,2002-03-06,43.99,2002-03-14,42.42,1136.0,49968.269,-1783.52,-3.569
23,RELIANCE,Long Closed,2002-07-01,38.57,2002-07-10,39.13,1296.0,49982.092,725.76,1.452
24,RELIANCE,Long Closed,2002-09-12,36.82,2002-10-15,34.59,1358.0,49997.457,-3028.34,-6.057
25,RELIANCE,Long Closed,2002-11-19,38.82,2003-01-29,44.27,1287.0,49965.832,7014.15,14.038
26,RELIANCE,Long Closed,2003-03-05,41.49,2003-03-27,40.4,1204.0,49958.872,-1312.36,-2.627
27,RELIANCE,Long Closed,2003-04-15,41.84,2003-04-21,39.99,1194.0,49961.697,-2208.9,-4.421
28,RELIANCE,Long Closed,2003-06-06,44.99,2004-03-16,77.12,1111.0,49979.264,35696.43,71.422
29,RELIANCE,Long Closed,2004-04-27,79.97,2004-05-10,75.65,625.0,49984.264,-2700.0,-5.402
30,RELIANCE,Long Closed,2004-07-30,67.85,2004-12-01,74.69,736.0,49937.649,5034.24,10.081
31,RELIANCE,Long Closed,2005-01-18,73.28,2005-04-19,74.83,682.0,49974.867,1057.1,2.115
32,RELIANCE,Long Closed,2005-06-16,82.4,2006-06-13,203.44,606.0,49935.991,73350.24,146.889
33,RELIANCE,Long Closed,2006-07-12,236.86,2006-08-21,241.16,211.0,49977.016,907.3,1.815
34,RELIANCE,Long Closed,2006-08-22,246.87,2007-01-09,295.97,202.0,49867.705,9918.2,19.889
35,RELIANCE,Long Closed,2007-01-12,299.15,2007-03-19,297.41,167.0,49957.519,-290.58,-0.582
36,RELIANCE,Long Closed,2007-04-17,334.87,2008-01-31,565.06,149.0,49896.28,34298.31,68.739
37,RELIANCE,Long Closed,2008-04-23,597.06,2008-06-09,498.77,83.0,49555.919,-8158.07,-16.462
38,RELIANCE,Long Closed,2008-08-12,534.88,2008-09-15,431.95,93.0,49744.272,-9572.49,-19.243
39,RELIANCE,Long Closed,2008-12-31,286.64,2009-02-05,303.79,174.0,49875.936,2984.1,5.983
40,RELIANCE,Long Closed,2009-02-10,317.48,2009-03-19,305.84,157.0,49844.232,-1827.48,-3.666
41,RELIANCE,Long Closed,2009-03-24,331.46,2009-07-08,424.12,150.0,49718.555,13899.0,27.955
42,RELIANCE,Long Closed,2009-08-25,449.21,2009-11-06,441.17,111.0,49862.495,-892.44,-1.79
43,RELIANCE,Long Closed,2009-12-03,505.12,2010-02-05,445.74,98.0,49502.065,-5819.24,-11.756
44,RELIANCE,Long Closed,2010-03-29,504.57,2010-05-12,491.93,99.0,49952.875,-1251.36,-2.505
45,RELIANCE,Long Closed,2010-06-25,480.02,2010-08-05,466.29,104.0,49922.568,-1427.92,-2.86
46,RELIANCE,Long Closed,2010-10-04,464.0,2010-12-01,450.31,107.0,49648.108,-1464.83,-2.95
47,RELIANCE,Long Closed,2011-01-05,493.74,2011-01-27,441.62,101.0,49867.705,-5264.12,-10.556
48,RELIANCE,Long Closed,2011-03-16,477.74,2011-05-06,435.68,104.0,49684.838,-4374.24,-8.804
49,RELIANCE,Long Closed,2011-09-28,365.62,2011-12-02,364.36,136.0,49724.157,-171.36,-0.345
50,RELIANCE,Long Closed,2012-02-02,381.73,2012-03-22,350.14,130.0,49625.409,-4106.7,-8.275
51,RELIANCE,Long Closed,2012-06-26,328.02,2012-11-07,366.65,152.0,49858.565,5871.76,11.777
52,RELIANCE,Long Closed,2012-12-20,384.91,2013-02-28,382.74,129.0,49653.548,-279.93,-0.564
53,RELIANCE,Long Closed,2013-05-21,379.95,2013-06-25,365.6,131.0,49773.576,-1879.85,-3.777
54,RELIANCE,Long Closed,2013-07-03,393.39,2013-08-23,372.0,127.0,49960.741,-2716.53,-5.437
55,RELIANCE,Long Closed,2013-09-26,387.06,2013-12-02,389.96,129.0,49930.728,374.1,0.749
56,RELIANCE,Long Closed,2014-01-02,405.83,2014-01-10,387.84,123.0,49916.668,-2212.77,-4.433
57,RELIANCE,Long Closed,2014-01-13,396.93,2014-01-29,388.5,125.0,49616.837,-1053.75,-2.124
58,RELIANCE,Long Closed,2014-03-21,414.65,2014-07-09,458.08,120.0,49757.985,5211.6,10.474
59,RELIANCE,Long Closed,2014-09-09,471.84,2014-09-30,424.25,105.0,49543.347,-4996.95,-10.086
60,RELIANCE,Long Closed,2014-11-25,450.35,2014-12-17,395.56,111.0,49989.359,-6081.69,-12.166
61,RELIANCE,Long Closed,2015-02-12,415.11,2015-03-10,397.25,120.0,49812.847,-2143.2,-4.303
62,RELIANCE,Long Closed,2015-04-28,399.88,2015-08-20,438.86,125.0,49985.428,4872.5,9.748
63,RELIANCE,Long Closed,2015-10-23,440.69,2016-02-15,419.68,113.0,49797.463,-2374.13,-4.768
64,RELIANCE,Long Closed,2016-03-22,474.08,2016-05-11,444.27,105.0,49778.559,-3130.05,-6.288
65,RELIANCE,Long Closed,2016-07-05,450.81,2016-11-09,434.31,110.0,49589.291,-1815.0,-3.66
66,RELIANCE,Long Closed,2016-12-27,479.04,2017-02-09,469.97,104.0,49820.345,-943.28,-1.893
67,RELIANCE,Long Closed,2017-02-27,544.26,2017-05-29,611.23,91.0,49527.344,6094.27,12.305
68,RELIANCE,Long Closed,2017-06-27,654.66,2017-12-28,845.99,76.0,49754.33,14541.08,29.226
69,RELIANCE,Long Closed,2018-01-10,862.22,2018-02-23,846.12,57.0,49146.298,-917.7,-1.867
70,RELIANCE,Long Closed,2018-04-25,890.24,2018-06-11,902.54,56.0,49853.443,688.8,1.382
71,RELIANCE,Long Closed,2018-06-19,927.04,2018-10-10,1000.19,53.0,49133.222,3876.95,7.891
72,RELIANCE,Long Closed,2018-12-07,1032.69,2019-01-11,1012.71,48.0,49569.27,-959.04,-1.935
73,RELIANCE,Long Closed,2019-01-23,1127.65,2019-05-21,1218.07,44.0,49616.445,3978.48,8.018
74,RELIANCE,Long Closed,2019-09-11,1117.77,2019-09-20,1086.18,44.0,49181.956,-1389.96,-2.826
75,RELIANCE,Long Closed,2019-09-30,1197.78,2020-01-21,1397.65,41.0,49108.811,8194.67,16.687
76,RELIANCE,Long Closed,2020-05-04,1316.64,2020-10-29,1843.23,37.0,48715.649,19483.83,39.995
77,RELIANCE,Long Closed,2021-01-05,1817.39,2021-01-11,1789.51,27.0,49069.432,-752.76,-1.534
78,RELIANCE,Long Closed,2021-01-22,1948.45,2021-01-28,1735.38,25.0,48711.307,-5326.75,-10.935
79,RELIANCE,Long Closed,2021-02-16,1882.69,2021-02-22,1919.84,26.0,48949.904,965.9,1.973
80,RELIANCE,Long Closed,2021-02-24,1873.69,2021-04-13,1775.85,26.0,48715.923,-2543.84,-5.222
81,RELIANCE,Long Closed,2021-06-03,2049.98,2021-07-23,1970.1,24.0,49199.572,-1917.12,-3.897
82,RELIANCE,Long Closed,2021-08-27,2064.75,2021-11-24,2196.74,24.0,49554.006,3167.76,6.393
83,RELIANCE,Long Closed,2022-01-19,2335.19,2022-02-15,2170.16,21.0,49038.973,-3465.63,-7.067
84,RELIANCE,Long Closed,2022-03-29,2434.87,2022-05-27,2393.38,20.0,48697.461,-829.8,-1.704
85,RELIANCE,Long Closed,2022-06-13,2445.95,2022-07-01,2376.63,20.0,48918.984,-1386.4,-2.834
86,RELIANCE,Long Closed,2022-08-18,2455.18,2022-09-28,2178.6,20.0,49103.584,-5531.6,-11.265
87,RELIANCE,Long Closed,2022-11-11,2399.8,2023-01-03,2367.54,20.0,47995.981,-645.2,-1.344
88,RELIANCE,Long Closed,2023-05-02,2248.61,2023-09-07,2421.7,22.0,49469.46,3807.98,7.698
89,RELIANCE,Long Closed,2023-11-29,2408.0,2024-04-10,2932.7,20.0,48160.0,10494.0,21.79
90,RELIANCE,Long Closed,2024-04-22,2944.9,2024-05-03,2942.0,16.0,47118.398,-46.4,-0.098
91,TCS,Long Closed,2002-09-10,40.94,2002-10-03,37.25,1221.0,49984.688,-4505.49,-9.014
92,TCS,Long Closed,2002-11-26,42.62,2003-02-07,50.14,1173.0,49999.125,8820.96,17.642
93,TCS,Long Closed,2004-05-07,116.25,2004-07-15,91.75,430.0,49987.5,-10535.0,-21.075
94,TCS,Long Closed,2004-07-16,93.72,2005-04-21,140.62,533.0,49955.424,24997.7,50.04
95,TCS,Long Closed,2005-06-13,159.38,2005-08-29,171.25,313.0,49884.375,3715.31,7.448
96,TCS,Long Closed,2005-09-09,168.88,2005-11-09,184.62,296.0,49987.0,4659.04,9.321
97,TCS,Long Closed,2005-11-18,189.0,2006-02-08,208.25,264.0,49896.0,5082.0,10.185
98,TCS,Long Closed,2006-03-07,217.52,2006-06-01,228.12,229.0,49812.081,2427.4,4.873
99,TCS,Long Closed,2006-07-21,224.75,2007-03-08,297.5,222.0,49894.5,16150.5,32.369
100,TCS,Long Closed,2007-05-08,317.5,2007-06-04,307.0,157.0,49847.5,-1648.5,-3.307
101,TCS,Long Closed,2007-10-19,286.96,2007-11-13,240.96,174.0,49931.474,-8004.0,-16.03
102,TCS,Long Closed,2007-12-26,278.75,2008-01-22,203.68,179.0,49896.25,-13437.53,-26.931
103,TCS,Long Closed,2008-04-21,252.25,2008-06-24,212.5,198.0,49945.5,-7870.5,-15.758
104,TCS,Long Closed,2008-09-04,211.25,2008-09-18,182.0,236.0,49855.0,-6903.0,-13.846
105,TCS,Long Closed,2009-02-03,123.25,2009-02-05,125.0,405.0,49916.25,708.75,1.42
106,TCS,Long Closed,2009-03-31,131.25,2010-05-05,375.0,380.0,49875.0,92625.0,185.714
107,TCS,Long Closed,2010-06-25,387.9,2011-02-22,561.33,128.0,49651.199,22199.04,44.71
108,TCS,Long Closed,2011-04-08,598.45,2011-05-25,574.55,83.0,49671.351,-1983.7,-3.994
109,TCS,Long Closed,2011-07-04,596.5,2011-07-13,575.0,83.0,49509.5,-1784.5,-3.604
110,TCS,Long Closed,2011-07-20,575.0,2011-07-29,566.5,86.0,49450.0,-731.0,-1.478
111,TCS,Long Closed,2011-10-10,524.0,2012-01-25,547.45,95.0,49780.0,2227.75,4.475
112,TCS,Long Closed,2012-02-17,617.42,2012-03-30,572.75,80.0,49393.999,-3573.6,-7.235
113,TCS,Long Closed,2012-05-14,613.65,2012-07-26,606.5,81.0,49705.652,-579.15,-1.165
114,TCS,Long Closed,2012-08-22,647.95,2012-10-16,648.5,77.0,49892.151,42.35,0.085
115,TCS,Long Closed,2012-12-05,650.0,2012-12-07,638.33,76.0,49400.0,-886.92,-1.795
116,TCS,Long Closed,2013-01-18,681.25,2013-04-26,696.5,73.0,49731.25,1113.25,2.239
117,TCS,Long Closed,2013-06-10,762.53,2013-06-28,747.5,65.0,49564.127,-976.95,-1.971
118,TCS,Long Closed,2013-07-02,746.55,2013-07-08,764.0,66.0,49272.299,1151.7,2.337
119,TCS,Long Closed,2013-07-15,800.55,2013-12-03,1008.03,62.0,49634.099,12863.76,25.917
120,TCS,Long Closed,2013-12-31,1080.05,2014-02-20,1103.0,46.0,49682.302,1055.7,2.125
121,TCS,Long Closed,2014-04-25,1113.5,2014-05-28,1070.0,44.0,48994.0,-1914.0,-3.907
122,TCS,Long Closed,2014-06-23,1146.5,2014-11-10,1287.55,43.0,49299.5,6065.15,12.303
123,TCS,Long Closed,2015-02-10,1255.0,2015-04-08,1297.0,39.0,48945.0,1638.0,3.347
124,TCS,Long Closed,2015-06-02,1308.0,2015-07-22,1280.5,38.0,49704.0,-1045.0,-2.102
125,TCS,Long Closed,2015-08-19,1375.0,2015-09-21,1275.0,36.0,49500.0,-3600.0,-7.273
126,TCS,Long Closed,2015-10-14,1274.0,2015-10-15,1245.0,39.0,49686.0,-1131.0,-2.276
127,TCS,Long Closed,2016-03-22,1221.0,2016-07-11,1215.0,40.0,48840.0,-240.0,-0.491
128,TCS,Long Closed,2016-08-09,1329.0,2016-09-14,1181.0,37.0,49173.0,-5476.0,-11.136
129,TCS,Long Closed,2017-01-03,1180.62,2017-02-10,1155.5,42.0,49586.25,-1055.04,-2.128
130,TCS,Long Closed,2017-02-14,1209.82,2017-04-19,1131.75,41.0,49602.823,-3200.87,-6.453
131,TCS,Long Closed,2017-05-29,1289.5,2017-07-06,1179.5,38.0,49001.0,-4180.0,-8.53
132,TCS,Long Closed,2017-08-07,1258.25,2017-09-20,1257.0,39.0,49071.75,-48.75,-0.099
133,TCS,Long Closed,2017-10-17,1292.5,2017-12-21,1293.5,38.0,49115.0,38.0,0.077
134,TCS,Long Closed,2018-01-16,1378.0,2018-03-23,1401.0,36.0,49608.0,828.0,1.669
135,TCS,Long Closed,2018-04-23,1712.0,2018-10-25,1844.0,29.0,49648.0,3828.0,7.71
136,TCS,Long Closed,2018-12-17,1999.0,2019-01-11,1870.0,25.0,49975.0,-3225.0,-6.453
137,TCS,Long Closed,2019-02-08,2075.0,2019-07-23,2127.9,24.0,49800.0,1269.6,2.549
138,TCS,Long Closed,2019-08-26,2247.0,2019-09-26,2097.9,22.0,49434.0,-3280.2,-6.636
139,TCS,Long Closed,2019-11-13,2118.0,2019-12-10,2060.0,23.0,48714.0,-1334.0,-2.738
140,TCS,Long Closed,2020-01-01,2168.0,2020-02-13,2172.95,23.0,49864.0,113.85,0.228
141,TCS,Long Closed,2020-05-14,1910.0,2021-03-03,3035.0,26.0,49660.0,29250.0,58.901
142,TCS,Long Closed,2021-04-08,3270.0,2021-05-18,3100.0,15.0,49050.0,-2550.0,-5.199
143,TCS,Long Closed,2021-06-15,3298.0,2021-08-02,3180.0,15.0,49470.0,-1770.0,-3.578
144,TCS,Long Closed,2021-08-17,3482.1,2021-10-26,3494.5,14.0,48749.401,173.6,0.356
145,TCS,Long Closed,2021-12-21,3582.65,2022-02-22,3650.0,13.0,46574.449,875.55,1.88
146,TCS,Long Closed,2022-04-07,3745.5,2022-05-02,3519.9,13.0,48691.5,-2932.8,-6.023
147,TCS,Long Closed,2022-08-17,3385.1,2022-09-15,3130.0,14.0,47391.401,-3571.4,-7.536
148,TCS,Long Closed,2022-11-03,3228.05,2023-01-03,3252.0,15.0,48420.751,359.25,0.742
149,TCS,Long Closed,2023-01-27,3426.0,2023-03-16,3208.0,14.0,47964.0,-3052.0,-6.363
150,TCS,Long Closed,2023-05-19,3210.0,2023-07-03,3314.3,15.0,48150.0,1564.5,3.249
151,TCS,Long Closed,2023-07-17,3510.0,2023-11-03,3382.0,14.0,49140.0,-1792.0,-3.647
152,TCS,Long Closed,2023-12-11,3622.9,2024-04-08,3983.0,13.0,47097.699,4681.3,9.94
153,INFY,Long Closed,1996-02-08,0.85,1996-08-05,1.35,58850.0,49999.491,29425.0,58.851
154,INFY,Long Closed,1996-10-25,1.33,1997-11-06,5.06,37647.0,49999.922,140423.31,280.847
155,INFY,Long Closed,1998-03-02,5.58,1998-06-23,7.52,8957.0,49998.25,17376.58,34.754
156,INFY,Long Closed,1998-07-17,10.33,1998-09-11,9.38,4839.0,49996.699,-4597.05,-9.195
157,INFY,Long Closed,1998-11-16,9.34,1998-12-02,9.22,5355.0,49993.94,-642.6,-1.285
158,INFY,Long Closed,1998-12-08,9.81,1999-04-15,20.82,5095.0,49994.688,56095.95,112.204
159,INFY,Long Closed,1999-05-18,24.06,2000-04-10,153.37,2077.0,49977.812,268576.87,537.392
160,INFY,Long Closed,2000-06-22,132.81,2000-08-02,103.5,376.0,49937.5,-11020.56,-22.069
161,INFY,Long Closed,2000-09-04,131.25,2000-10-11,110.94,380.0,49875.0,-7717.8,-15.474
162,INFY,Long Closed,2000-11-21,119.22,2000-12-22,98.36,419.0,49952.656,-8740.34,-17.497
163,INFY,Long Closed,2001-02-08,100.86,2001-03-05,76.58,495.0,49925.391,-12018.6,-24.073
164,INFY,Long Closed,2001-05-28,65.39,2001-06-25,53.3,764.0,49956.648,-9236.76,-18.49
165,INFY,Long Closed,2001-08-06,60.39,2001-09-07,51.25,827.0,49943.047,-7558.78,-15.135
166,INFY,Long Closed,2001-11-06,45.17,2002-02-01,61.74,1106.0,49960.094,18326.42,36.682
167,INFY,Long Closed,2002-03-20,61.8,2002-04-10,56.56,809.0,49993.672,-4239.16,-8.479
168,INFY,Long Closed,2002-08-28,53.12,2003-01-29,67.81,941.0,49990.625,13823.29,27.652
